,Artist,Type,LVar,LAve,LMax,LFEner,LFreq
Dancing Queen,Abba,Rock, 17600755.6,-90.0068667,29921,105.92095, 59.57379
Knowing Me,Abba,Rock,  9543020.9,-75.7667187,27626,102.83616, 58.48031
Take a Chance,Abba,Rock,  9049481.5,-98.0629244,26372,102.32488,124.59397
Mamma Mia,Abba,Rock,  7557437.3,-90.4710616,28898,101.61648, 48.76513
Lay All You,Abba,Rock,  6282285.6,-88.9526309,27940,100.30076, 74.02039
Super Trouper,Abba,Rock,  4665866.7,-69.0208450,25531,100.24848, 81.40140
I Have A Dream,Abba,Rock,  3369670.3,-71.6828788,14699,104.59686,305.18689
The Winner,Abba,Rock,  1135862.0,-67.8190467, 8928,104.34921,277.66056
Money,Abba,Rock,  6146942.6,-76.2807500,22962,102.24066,165.15799
SOS,Abba,Rock,  3482881.8,-74.1300038,15517,104.36243,146.73700
V1,Vivaldi,Classical,  3677296.2, 66.6530970,24229, 99.25243,329.53792
V2,Vivaldi,Classical,   771491.8, 21.6560941, 6936,104.36737,843.83240
V3,Vivaldi,Classical,  5227573.2, 88.6465556,17721,104.61255,165.76781
V4,Vivaldi,Classical,   334719.1, 13.8318847, 4123,104.35005,293.99972
V5,Vivaldi,Classical,   836904.9, 34.5677377,17306, 88.82821,198.38305
V6,Vivaldi,Classical, 13936436.7,216.2317586,30355,104.82354,198.46716
V7,Vivaldi,Classical,  3636324.3,  9.8366363,21450,100.52727,877.77243
V8,Vivaldi,Classical,   295397.4,  2.8143227, 2985,108.28717, 58.41722
V9,Vivaldi,Classical,  4335879.0, 10.9015767,22271,101.32881,176.53441
V10,Vivaldi,Classical,   472630.0,  3.8890862, 8194, 98.83731,526.04942
M1,Mozart,Classical,  2819795.0, -5.8667602,14939,102.25358,342.26017
M2,Mozart,Classical,  2836957.9, -5.6074580,13382,102.04646,511.85517
M3,Mozart,Classical,  9089372.1, -5.9719205,25265,102.23796,429.27618
M4,Mozart,Classical,  4056229.7, -6.2272904,21328, 97.59887,343.75319
M5,Mozart,Classical,  1568925.6, -6.1993790,15839, 99.47580,288.44819
M6,Mozart,Classical,  7758409.1, -5.7700183,22496,101.66942,459.24182
All in a Days Work,Eels,Rock, 40275677.4,-10.6893416,32759,106.07617, 65.48281
Saturday Morning,Eels,Rock,129472199.3, 50.2115773,32759,114.00229, 41.40515
The Good Old Days,Eels,Rock, 18838849.0, -0.0222764,30386,105.45611,165.24210
Love of the Loveless,Eels,Rock, 43201194.3,  1.8926897,32759,108.37835,174.64185
Girl,Eels,Rock, 88547131.0,  0.3358761,32744,112.00916,392.28702
Agony,Eels,Rock, 16285811.4, -0.1405876,30106,103.94171,312.06322
Rock Hard Times,Eels,Rock, 54651552.8,  1.9848514,32759,108.87503,312.37864
Restraining,Eels,Rock, 12322434.4,  1.0259790,23221,103.29906,185.59771
Lone Wolf,Eels,Rock, 63878899.8,  3.3592505,32759,109.53291, 66.13469
Wrong About Bobby,Eels,Rock, 43668186.9, -2.0125667,32759,108.35559, 98.83404
Love Me Do,Beatles,Rock, 28806811.2, -5.7452189,24159,109.95808,126.50757
I Want to Hold Your Hand,Beatles,Rock, 61257693.6, -6.0340682,28502,111.81813,294.67263
Cant Buy Me Love,Beatles,Rock, 76729438.0, -5.9583971,30102,112.71792,100.20089
I Feel Fine,Beatles,Rock, 52497242.7, -5.7314591,29911,110.66333,110.39972
Ticket to Ride,Beatles,Rock, 68104547.0, -6.1449114,30415,111.59957,107.30853
Help,Beatles,Rock, 52569372.5, -5.7166301,32318,110.34618,137.10594
Yesterday,Beatles,Rock, 23080907.6, -6.0298337,28169,107.30541,173.50631
Yellow Submarine,Beatles,Rock, 39908667.5, -6.2616915,29061,109.47442, 91.49508
Eleanor Rigby,Beatles,Rock, 18819753.2, -6.1265193,21680,108.65894,164.92667
Penny Lane,Beatles,Rock, 58614798.7, -5.9971242,31131,111.18901, 92.46240
B1,Beethoven,Classical,  8368952.9, -0.9538330,26645,101.74095,354.12025
B2,Beethoven,Classical,   293608.3, -0.1247094, 4554,103.26160,316.03761
B3,Beethoven,Classical,  8051764.6, -0.3316964,24194,101.20132,397.18666
B4,Beethoven,Classical, 23493873.6, -0.9411538,32766,106.18220,529.26679
B5,Beethoven,Classical,  1640232.8,  1.3899979,20877, 94.59029,445.00551
B6,Beethoven,Classical,   343973.1, -2.4748955, 9225, 93.38874,331.68283
B7,Beethoven,Classical,  3644784.2, -1.0426907,24633, 97.86394,181.01349
B8,Beethoven,Classical, 15030950.3, -1.4394652,26066,106.39731,249.08280
The Memory of Trees,Enya,New wave,  1135493.1,-10.6183398, 9994,102.16132,155.06430
Anywhere Is,Enya,New wave, 12230252.2,-17.8372700,24968,105.75748, 79.31957
Pax Deorum,Enya,New wave,  1723627.9, -6.8327065,13227,101.86845, 49.01748
Waterloo,Abba,Rock, 24898675.9,-93.9961871,29830,107.73299,146.04306
V11,Vivaldi,Classical,  1879989.2, 12.7213373, 8601,105.81750, 58.83780
V12,Vivaldi,Classical,   737349.6,  5.7190022, 7089,102.92123,175.94562
V13,Vivaldi,Classical,  2865979.9, 21.4467629,17282,102.11314, 61.44533
Hey Jude,Beatles,Rock,  8651854.1, -6.1322408,18509, 83.88195,219.53773
